,OBJECTID,UtilityCompany,StartDateTime,ImpactedCustomers,County,FID,x,y,xp,yp,lon,lat,StartDate,StartTime
33,1193191.0,PGE,2020-04-05 17:39:04,1,SAN LUIS OBISPO,,0.37523964909830454,0.30042909192963174,-13430908.071240963,4204115.368956766,-120.65189999999998,35.29552999999999,2020-04-05,17:39:04
32,1193187.0,PGE,2020-04-05 17:22:31,1,HUMBOLDT,,0.019937114985745907,0.9615465560522582,-13814722.09076746,5009448.148909193,-124.09975999999999,40.98037999999999,2020-04-05,17:22:31
31,1193179.0,PGE,2020-04-05 17:16:00,8,SAN JOAQUIN,,0.3087393180774658,0.6087881111176476,-13502744.765039677,4579739.429161636,-121.29721999999998,38.00221999999999,2020-04-05,17:16:00
30,1193177.0,PGE,2020-04-05 16:33:00,11,ALAMEDA,,0.2503273943302613,0.5592080361814529,-13565843.992006032,4519344.020258614,-121.86405,37.573459999999955,2020-04-05,16:33:00
29,1193176.0,PGE,2020-04-05 17:18:29,1,AMADOR,,0.3701510320620933,0.6557359965468796,-13436405.027696334,4636928.466114075,-120.70127999999997,38.40591999999999,2020-04-05,17:18:29
28,1193161.0,SMUD,2020-04-05 16:34:13,1,SACRAMENTO,,0.3005082442006728,0.675172077104869,-13511636.346850546,4660604.308360835,-121.37709443840701,38.5723929275158,2020-04-05,16:34:13
27,1193159.0,PGE,2020-04-05 16:33:38,46,CALAVERAS,,0.38807969937599474,0.6549022224972525,-13417037.662688117,4635912.813662465,-120.52729999999997,38.39876999999999,2020-04-05,16:33:38
26,1193158.0,PGE,2020-04-05 16:36:59,37,SANTA CRUZ,,0.23861986534111423,0.49988238839344135,-13578490.999355054,4447077.151739261,-121.97765999999999,37.05716,2020-04-05,16:36:59
25,1193150.0,PGE,2020-04-05 16:23:00,51,NEVADA,,0.3761763750776339,0.7636218172506046,-13429896.177069651,4768348.361397108,-120.64280999999997,39.32510999999999,2020-04-05,16:23:00
24,1193146.0,PGE,2020-04-05 16:20:00,162,SAN JOAQUIN,,0.29582713268585437,0.6217962742945753,-13516693.097236078,4595585.176372766,-121.42252000000002,38.11429999999999,2020-04-05,16:20:00
21,1193124.0,PGE,2020-04-05 15:56:39,13,PLACER,,0.3169833310968446,0.700565331657415,-13493839.205776216,4691536.814898051,-121.21722,38.78931,2020-04-05,15:56:39
20,1193123.0,PGE,2020-04-05 15:56:00,4,MARIN,,0.16370961053887534,0.6101369796608909,-13659412.47679741,4581382.538159161,-122.70459000000001,38.01384999999998,2020-04-05,15:56:00
